,0,1,2,3,4
Yam1,0.08044785,-0.06271227,-0.0041796044,0.03498368,-0.040019352
Mbp,0.18707065,0.04556938,0.16964275,0.05251212,0.086971186
Plp1,0.1677569,0.029411327,0.15858494,0.023719551,0.06566245
Fth1,0.21218899,0.00086889655,0.1907576,0.047369037,0.047452953
Apod,0.12576503,-0.0857259,0.117374554,-0.03254684,-0.041484192
Apoe,0.17634791,-0.15060085,0.1572895,-0.020868344,-0.08265938
Malat1,0.077399,-0.011646952,-0.0068132565,0.043761007,-0.018669294
Sod1,0.07681168,0.09674899,-0.065649495,0.15083149,0.057921447
Mt1,0.11760555,-0.08579598,0.062939696,0.007607012,-0.051957194
Cst3,0.0970029,-0.092927076,0.009974689,0.03411247,-0.06765261
Tmsb4x,0.13682614,-0.009801892,0.06879137,0.058134537,-0.00069830345
Sparcl1,0.071720764,0.11420561,-0.107262045,0.19816595,0.062136058
Actb,0.07749208,-0.12045401,0.0051286872,-0.011699754,-0.1063619
Scd2,0.08475298,0.014823796,-0.024570871,0.08717736,-0.006163896
Sparc,0.062338054,-0.1418278,-0.023666091,-0.011631736,-0.13437586
Gnas,0.06268432,0.097591035,-0.090283,0.16239205,0.05253008
Trf,0.028124345,-0.050671764,-0.084629335,0.03333768,-0.08153931
Mobp,0.07206537,-0.003810878,0.0064028148,0.02360418,-0.013254884
Snap25,0.07474289,0.10347904,-0.040990636,0.12251756,0.06997907
Mt2,0.06151945,-0.15524794,-0.05269509,0.016050585,-0.15169519
Gfap,0.067293465,-0.0876541,-0.016842272,0.011819568,-0.08926162
Cldn11,0.10409053,0.021429084,0.034941904,0.05542887,0.0012741508
Nefl,0.022357337,0.010156373,-0.11371743,0.07975679,-0.03640807
Pmp22,0.009036353,-0.12665555,-0.13654684,0.046743996,-0.14445505
Calm1,0.056508623,0.12709469,-0.13562389,0.21271698,0.05325626
Eef1a1,0.08041093,-0.028111588,-0.025603626,0.064866126,-0.05496741
Ctsb,0.0657723,-0.17339364,-0.06218243,0.031871304,-0.17500184
Cpe,0.11403934,0.033233322,0.0020547356,0.11001646,-0.008346061
Slc1a2,0.057615526,0.02821968,-0.03258335,0.055561986,-0.0021253098
Qk,0.06813449,0.019062934,-0.008435291,0.03329378,-0.025763933
Ctsd,0.0379563,-0.026287168,-0.052676544,0.038432818,-0.040566143
Ubb,0.01258836,0.062333632,-0.13926566,0.108453505,-0.010272605
Atp1b1,0.045723993,0.111306876,-0.13952008,0.18892498,0.03542478
Itm2b,0.061006393,-0.02430545,-0.03997135,0.049819905,-0.05400262
Aldoc,0.07200488,0.04257775,-0.047438744,0.09861343,-0.007995376
App,0.06882296,0.024656381,-0.034159664,0.07094898,-0.023852002
Rps21,0.057190444,0.018873565,-0.05981408,0.08218058,-0.023386039
Tuba1a,0.044412162,0.0005319835,-0.030877862,0.028268576,-0.016654545
Mpz,0.031679925,-0.025836056,-0.04191165,0.020000441,-0.034136813
S100b,0.044310447,-0.00041869527,-0.017477902,0.016974293,-0.005412306
Map1b,0.030368883,0.0031533025,-0.03536715,0.011865047,-0.0075423704
Glul,0.04611893,-0.0045827325,-0.024368819,0.025835482,-0.0073154
Cd81,0.03527525,-0.008365644,-0.022111468,0.0058618067,-0.0023733114
Rplp1,0.03549969,-0.010396095,-0.019997735,0.004732331,0.002044983
Ptgds,0.03348076,-0.0090474505,-0.020665713,0.0058908747,0.00012644136
Prdx6,0.031223139,-0.013677736,-0.019463938,0.00010578347,-0.0013481844
Clu,0.03164528,-0.012108072,-0.020282116,-0.0011224595,-0.0022378517
Syt11,0.030557837,-0.009047738,-0.021764228,0.0017367423,0.0057672816
Atp1a2,0.027420837,-0.008811052,-0.019537665,-0.0019873104,0.007648913
Ckb,0.029876567,-0.007993081,-0.020437565,0.00062500045,0.010483707
Gpm6b,0.28225237,0.013819368,0.3784775,-0.039749548,0.054462444
Hsp90aa1,0.10109467,0.081284344,0.01209855,0.10108234,0.03763598
Cfl1,0.11693752,0.03278445,0.057494167,0.06534976,0.022342563
Aqp4,0.10761832,-0.030753408,0.05825416,0.019467857,-0.03144185
Sepp1,0.046371162,-0.15854275,-0.041493703,-0.016519029,-0.15628326
Rtn3,0.066190034,-0.050058637,-0.0008316679,0.00056664844,-0.070207514
Slc25a4,0.055823646,0.033813268,-0.054426454,0.07282747,-0.025217846
Mal,0.097316265,0.115558006,0.02501508,0.10044192,0.07586084
Kcnj10,0.08931085,-0.07524037,0.03272893,-1.7225397e-05,-0.07474089
Cnp,0.09405307,-0.068494804,0.050886247,-0.005278272,-0.06131583
Atp5b,0.09257615,0.020273756,0.0334358,0.03670439,-0.004569742
Vim,0.06079486,0.067851454,-0.01740426,0.073876135,0.03772203
Gm20594,0.076195434,-0.063969694,0.014230859,0.0035926753,-0.0648445
Ndrg2,0.07768547,0.013727016,0.017701026,0.029649608,-0.008088191
Atp5a1,0.070316724,-0.036011558,0.0088957595,0.009630684,-0.048277564
Ywhag,0.043165825,0.09031935,-0.08463381,0.11606719,0.024724377
Mt3,0.025322905,-0.045722485,-0.069780834,0.0106794825,-0.08965112
Ppp3ca,0.14131428,0.0839899,0.16059536,-0.007372138,0.06535469
Rps29,0.021238033,0.08969192,-0.12673193,0.13515484,0.024306653
Atp1b2,0.07291429,-0.06647875,0.024729747,-0.0138930995,-0.06412545
Aplp1,0.06566312,-0.07764374,0.0070110904,-0.005292561,-0.0731227
Gm10076,0.095467046,-0.0066843373,0.073267974,-0.015018118,-0.022994805
Plekhb1,0.03496065,0.01793288,-0.035415955,0.017665915,-0.02424985
Rpl13a,0.020273684,-0.051417537,-0.018701313,-0.049640544,-0.05796242
Prnp,0.038742255,0.049216237,-0.05730159,0.06703243,0.006733914
Cox6c,0.076441966,0.002631406,0.031373356,-0.0012501741,-0.022009352
Psap,0.053007927,-0.038607284,-0.0050555915,-0.0064096046,-0.054700475
Eef2,0.052985877,0.004942788,-0.019040518,0.03225903,-0.014356287
Lars2,0.035939798,0.03740028,-0.042791158,0.047793973,0.0027070425
Rpl38,0.08798293,0.022070313,0.05296215,0.0064078826,-0.0028108782
Cox4i1,0.0044119447,0.019626368,-0.07223604,-0.02586786,-0.08057029
Ndrg4,0.046970814,0.06863333,-0.044361014,0.066738725,0.017650453
Car2,0.048912387,0.05699815,-0.052924186,0.08101949,0.011540757
Rtn4,0.03620335,-0.025738379,-0.02694502,-0.0060062716,-0.052732322
Calm2,0.048917223,0.038376737,-0.046909943,0.061717283,-0.006676571
Hsp90ab1,0.03858164,0.016132485,-0.031267162,0.0108798845,-0.03625497
Rps24,0.04617297,0.026313871,-0.005161637,0.0010367432,-0.016074616
B2m,0.010202417,-0.019852726,-0.06847089,-0.01227046,-0.08280371
Dbi,-0.016165055,-0.08319152,-0.100347,-0.03801026,-0.12164206
Lamp1,0.029014997,-0.009659411,-0.023688901,-0.010028817,-0.029918471
Nefm,0.0035068572,0.048324574,-0.08528768,0.02273695,-0.025633276
Cryab,0.048579726,0.02602805,0.024014875,-0.0355136,-0.021248398
Pea15a,0.015528876,0.017994585,-0.030491553,-0.033268347,-0.04175244
Aldoa,0.04043154,0.0014266808,-0.0008745808,-0.022290185,-0.02505709
Serinc1,0.026430786,0.059142355,-0.0069979844,-0.046377584,-0.03450131
Rpl41,0.035710976,-0.033442788,-0.03125466,-0.0068356325,-0.063727975
Dynll2,0.03491093,-0.04528754,-0.03858182,-0.003807008,-0.07043984
Nap1l5,0.028987268,0.041813046,-0.022129137,-0.019927954,-0.023139216
Hmgcs1,0.049090188,0.017693462,0.035184734,-0.04347925,-0.0067101424
Ndufa4,0.029744614,0.053375788,-0.018690083,-0.014642886,-0.016403913
Cplx1,0.04416393,0.0106149735,-0.010015915,-0.00069774914,-0.019122222
Sirt2,0.031068513,0.042592667,-0.024017273,0.0032055539,-0.010940442
Rps15,0.02453288,-0.0018064989,-0.011158186,-0.04872723,-0.05157718
Cox7c,0.028964326,-0.02306474,-0.0365222,-0.01545166,-0.06422356
Calm3,0.017163182,0.04565416,-0.02076129,-0.03999567,-0.021710003
Qdpr,0.020798545,0.020208998,-0.058261324,0.025730064,-0.017490478
Ugt8a,0.028581414,0.049420375,-0.038500946,0.022312878,-0.002910803
Eif4g2,0.045294136,0.028443858,0.009051599,-0.0129597485,-0.00214488
Cox7b,0.011315793,0.08270574,-0.029208168,-0.034694135,-0.015087483
Rps3,0.040929332,0.010806056,0.006395406,-0.018066587,-0.0059471163
Mdh1,0.024921117,0.062148277,-0.03152759,-0.0052166046,-0.011476811
Ywhae,0.023800476,0.010859736,-0.032352097,-0.003089917,-0.0149007905
Ttyh1,0.02086539,0.014955453,0.018787647,-0.08908384,-0.03673
Mag,0.019425778,0.004910407,-0.013752743,-0.044945642,-0.038962055
Chchd2,0.018736633,0.064459756,-0.030299067,-0.018534804,-0.016777504
Actg1,0.0076371,0.056351516,-0.05751194,-0.009285688,-0.03140385
Kif1b,0.04138188,0.008309415,-0.0010649653,-0.013788594,-0.02035973
Cox6a1,0.00093641796,0.08389381,-0.02215534,-0.07050811,-0.029626949
Lyz2,0.016554125,0.00495013,-0.018491011,-0.03881135,-0.036552195
Rpl4,0.027618852,0.000566711,-0.0100733945,-0.036580168,-0.035288393
Pkm,0.022014402,0.030605968,-0.037857037,-0.015196238,-0.039483782
Tspyl4,0.025633348,0.027326971,-0.015474845,-0.038294185,-0.04195694
Kif5b,0.029848248,-0.003647054,-0.0028403203,-0.034228288,-0.023482904
Ttc3,0.015985861,0.041994683,-0.006488982,-0.05499172,-0.014302131
Rps9,0.025900155,-0.018091891,-0.02691542,-0.0201948,-0.04864688
Ywhab,0.028406996,0.056576528,-0.009771624,-0.024331735,-0.0115820905
Nefh,0.02305186,0.010411636,-0.038671393,-0.006586685,-0.038749963
Rtn1,0.02146833,0.03201889,-0.019336708,-0.02981325,-0.017995575
Ywhaz,0.014720501,-6.7675915e-05,-0.028455403,-0.018538063,-0.00066821836
Tspan3,0.031512074,0.024706284,-0.025300384,0.001105658,-0.015161514
Vamp1,0.029678151,0.043613788,-0.024451114,-0.0020822573,-0.0112324245
Camk2n1,0.0076603396,0.11609414,-0.009223329,-0.058376163,0.004846901
Rpl27a,0.025091173,0.0044775503,-0.017596398,-0.0409266,-0.05571441
Fau,0.025397576,-0.004893523,-0.013142599,-0.027671998,-0.023678634
Rpl11,0.02064384,0.048948657,-0.026967682,-0.022598818,-0.028450921
Atp5g3,0.015372006,0.03217571,-0.037434395,-0.0049419063,-0.0015375144
Cox8a,-0.016658008,0.20012937,-0.03947644,-0.10852419,-0.07255962
Cadm4,0.015851798,-0.03654782,-0.0385763,-0.015101333,-0.039030995
Ldhb,0.03265692,0.017829329,-0.010084524,-0.016190456,-0.0149441715
Rpl39,0.02790472,0.009801003,0.003178564,-0.036578316,-0.0070590596
X2010107E04Rik,0.011788175,0.044590086,-0.036065385,-0.020729966,-0.0139649585
Prkar1a,0.014751236,0.02103117,-0.031858783,-0.029469818,-0.03133536
Zwint,0.025306027,0.04506158,-0.023835786,-0.012965926,-0.01359788
Rps20,-0.023643455,0.08428372,-0.04776609,-0.08453217,-0.03923081
Meg3,0.019695686,0.08869159,-0.017100338,-0.025577588,0.0019302685
Gm9843,0.03319874,0.004618901,-0.012559842,-0.023989957,-0.04325333
Tpt1,0.011840914,0.036409616,-0.027050782,-0.037241805,-0.024640197
Rpl37,0.013056768,0.06781124,-0.014174294,-0.051972352,-0.022122873
Canx,0.020975737,-0.00011584885,-0.015138674,-0.028711086,-0.012798322
Pcsk1n,0.013124026,0.13893107,-0.006395931,-0.05023996,0.013138761
Rpl7,-0.0027063922,0.059091553,-0.036983244,-0.051770978,-0.025518904
Sptbn1,0.03252546,0.025755301,-0.006437774,-0.001234607,0.023217835
Rps14,0.02166164,0.002080701,-0.013665437,-0.029641138,-0.012014243
Cd9,0.019886803,0.00885264,-0.024978055,-0.020900398,-0.025728576
Dcn,-0.003874238,0.016416643,-0.058405705,-0.035336528,-0.056873612
Rps27,0.0031677147,0.046236146,-0.021656923,-0.05978671,-0.02432298
Vsnl1,0.024227705,0.052849807,-0.0114200255,-0.017943492,0.016244242
Enpp2,0.052810684,0.033453308,0.04426848,-0.03498857,0.012827747
Rpl32,0.0150500545,0.056612685,-0.018396351,-0.048746623,-0.035084754
Rpl37a,0.020654092,-0.008556049,-0.012804325,-0.04219699,-0.032859974
Ndrg1,0.019766977,0.06623803,0.004357727,-0.050230738,0.00018433241
S100a6,0.01350292,-0.00032993272,-0.020848064,-0.041296974,-0.030786863
Serpina3n,0.028134182,-0.0012477931,-0.022510247,-0.0068746097,-0.023418197
Rpl31,0.028948383,-0.005801923,0.0039561414,-0.024762986,0.012493231
Atp5f1,0.023549119,0.028844876,-0.009116705,-0.03009309,-0.007339181
Tspan2,0.034654517,0.0061536557,-0.009868425,-0.0074912575,-0.0105690705
Ghitm,0.05145811,0.0050051054,0.025876757,-0.027390996,-0.00987824
Rab6a,0.019441275,0.042828277,-0.019798076,-0.009652116,0.021414608
Rps10,0.009963377,-0.009993399,-0.026520656,-0.033373114,-0.017687704
Marcks,0.026135182,0.004199466,0.000186276,-0.036949657,-0.012262012
Skp1a,0.030470444,0.019069195,-0.019738568,-0.005390046,-0.01440732
Rac1,0.034196887,0.021878516,-0.014265365,-0.00730238,-0.016711365
Ptma,0.01912986,0.005819298,-0.023495039,-0.018150618,-0.010962384
Uchl1,0.011100586,0.06801137,-0.019603284,-0.03394742,0.0062865256
Nptn,0.022178479,0.047365308,-0.006619246,-0.034789655,-9.122104e-05
Rps8,0.01809511,0.03468127,0.0052620745,-0.057963766,-0.0032300197
Hspa8,0.014949687,0.023551494,-0.03837876,-0.014149411,-0.022415696
Pura,0.0020573363,0.06694686,-0.022004345,-0.055676576,-0.010558371
Cltc,0.026504876,0.009963271,-0.0076807356,-0.030923866,-0.017776733
Rpl23,0.03319392,0.0092668235,-0.0032018942,-0.024721337,-0.020279689
Rpl13,0.02281892,0.028553985,-0.02592777,-0.008312578,-0.0070106294
Tspan7,-0.014256636,0.091331206,-0.048363883,-0.069166094,-0.039277893
Dpysl2,0.050302293,-0.011317877,0.008810123,-0.0051610307,-0.012724649
Gnai2,0.021784956,-0.01714785,-0.0065111257,-0.041319516,-0.025499031
Ubc,0.05500802,-0.010551781,0.030667981,-0.023223335,-0.008102721
Rpl9,0.0070442944,0.053679124,-0.008582931,-0.06932117,-0.019995695
Laptm4a,0.03351148,0.01583266,-0.014094022,-0.0020365308,-0.0058541433
Map2,0.0043559107,0.02740681,-0.040795464,-0.03017771,-0.019320603
Atp5k,0.019317936,0.01176625,-0.019399894,-0.025436921,-0.011586219
Slc25a5,0.04007905,0.034312256,0.011556945,-0.014662089,0.01482543
Atp6v1a,0.008297638,0.036390927,-0.035668943,-0.035208944,-0.029059537
Hint1,0.035567313,0.019891428,0.0023552224,-0.011469197,0.012667063
Cox7a2,0.023204332,0.023996709,-0.031253595,-0.008711798,-0.02270879
Slc25a3,0.017778045,0.011519061,-0.018747712,-0.02532928,-0.0041314084
Cox5a,0.016129905,0.05519503,-0.016883006,-0.03272609,-0.0041095144
Rps25,0.030294148,-0.009786621,-0.012726168,-0.014376608,-0.016498016
Glud1,0.020490896,-0.008009479,-0.021556636,-0.033184342,-0.038357496
Scd1,0.010758688,-0.002250407,-0.028772013,-0.026067168,-0.01062808
Serpine2,0.0057081487,-0.00848955,-0.029556202,-0.03944489,-0.0204896
Rps15a,0.03305285,0.049536817,0.018567845,-0.037628327,0.0126711475
Pfn2,0.032228824,0.10724357,0.02124233,-0.03827243,0.031403966
Mrfap1,0.0046131704,0.038971443,-0.0146625005,-0.045958564,0.013319742
Stmn2,0.012463211,0.015303895,-0.039073523,-0.018441794,-0.024872184
Uqcrq,0.0111291325,-0.012498538,-0.049145646,-0.004550102,-0.022086993
Atp2a2,0.013662556,-0.0249961,-0.044333227,-0.013872229,-0.035776556
Rpl14,0.02543097,-0.013358173,-0.028739627,-0.010165902,-0.030518448
Gsn,0.02744145,0.039852824,-0.01740361,-0.007760651,-0.0058664097
Pgk1.rs7,0.052205577,0.010327462,0.029995192,-0.020608405,0.004607457
Lrrc58,0.024808904,-0.011390084,-0.027277468,-0.011553058,-0.02979739
Tsc22d4,0.030305084,-0.035036784,-0.011787883,-0.021646151,-0.03278862
Ppp1cb,0.028199473,-0.009150533,-0.0021468971,-0.02701281,-0.004392302
