,0,1,2,3,4
RPL41,0.10160941,-0.10156233,0.1257571,0.12570585,-0.010079495
MT-CO1,-0.03276489,-0.03572918,0.1551101,0.039668277,0.07739678
MT-CO3,-0.00037020765,-0.058072567,0.19970027,0.095032655,0.074926645
PIP,-0.06827607,-0.013712835,0.1754466,0.023953158,0.10921969
RPLP1,0.02342923,-0.05717744,0.09965797,0.033977922,0.016147278
MT-CO2,0.04352429,-0.073369436,0.2143897,0.098184854,0.03796081
RPS27,0.017690988,-0.0735006,0.2744175,0.13095571,0.07797405
SCGB1D2,0.16082719,-0.12002511,0.094567716,0.0631988,-0.1078418
EEF1A1,0.11337765,-0.081873365,0.006252443,-0.028877994,-0.1100604
MT-ND4,0.15631351,-0.13040644,0.18624243,0.12050861,-0.07220229
RPL37,0.008580287,-0.062452007,0.20771737,0.08778007,0.061704177
MT-ND3,0.052562382,-0.047063336,0.03361462,-0.06155257,-0.060495805
MT-ATP6,-0.06441419,-0.0009141776,0.12643525,-0.041820347,0.07297806
FTH1,0.0026266042,-0.03991956,0.12731726,0.011532802,0.031117287
RPL39,0.0891912,-0.058068693,0.030910796,-0.075456984,-0.10217858
RPL34,0.07635746,-0.058133643,0.036075965,-0.046681497,-0.07566898
RPL10,0.13019368,-0.07825781,0.011155796,-0.092296205,-0.1581345
RPS15A,0.06971842,-0.044120513,0.05161189,-0.08807692,-0.08521709
RPS12,0.04850474,-0.042262807,0.0038014445,-0.07768255,-0.06709932
RPL37A,0.038811363,-0.030498806,0.013151034,-0.08291739,-0.053401977
RPL30,0.06344097,-0.046878543,0.014046136,-0.10293487,-0.09540105
RPS14,0.07646239,-0.04749833,0.032374028,-0.10864207,-0.10614233
RPL28,0.018770318,-0.01916985,0.038420696,-0.1334587,-0.06148151
RPL32,0.014952764,-0.025152935,0.030291473,-0.081117034,-0.030400276
RPS28,0.036246993,-0.03408931,0.034180056,-0.13729523,-0.08682914
MT-CYB,0.0056588175,-0.015733913,0.011301864,-0.15128048,-0.06241872
RPS29,-0.047577184,0.0041531334,0.083232,-0.089405976,0.0335531
RPS23,0.013900741,-0.02259409,0.028442502,-0.08156379,-0.028487025
RPS18,0.029061135,-0.03264618,0.017073452,-0.05757137,-0.031817712
RPS15,-0.029364511,0.0038631693,0.049914915,-0.13921835,-0.012953963
RPS21,0.0035204615,-0.020567019,0.03810963,-0.109494425,-0.03717775
RPS4X,0.026271554,-0.017518103,0.018429862,-0.14976722,-0.07574208
ACTB,0.016234191,-0.022663647,0.026519744,-0.06892532,-0.023041222
TMSB10,-0.018722748,-0.011637387,0.033284266,-0.062850036,0.01349617
TPT1,-0.024686744,-0.013325244,0.032229435,-0.06395436,0.016866328
KRT19,0.015482667,-0.022202902,0.015293726,-0.046990566,-0.007731933
RPL36,-0.028445976,-0.003841257,0.034911573,-0.08283946,0.013042554
MT-ND1,-0.011085614,-0.015967568,0.033201322,-0.07819563,-0.0038053156
RPL13,0.0058106733,-0.018948905,0.025046105,-0.035707578,0.009044902
TMSB4X,-0.10597983,0.016674422,0.076504104,-0.102811255,0.07176723
